,Winner,T1_TwitterVol,T2_TwitterVol,T1_FansSent,T2_FansSent,T1_FansPred,T2_FansPred
0,0,0.571428571,0.428571429,0.571428571,0.380952381,0,0
1,0,0.837837838,0.162162162,0.648648649,0.162162162,0,0
2,1,0.356687898,0.643312102,0.299363057,0.535031847,0.333333333,0.666666667
3,0,0.464285714,0.535714286,0.464285714,0.464285714,0,0
4,1,0.695652174,0.304347826,0.565217391,0.282608696,0,0
5,0,0.666666667,0.333333333,0.583333333,0.3125,0,0
6,0,0.55,0.45,0.45,0.3,0,0
7,0,0.724137931,0.275862069,0.655172414,0.24137931,0,0
8,0,0.446808511,0.553191489,0.306382979,0.387234043,1,0
9,1,0.72,0.28,0.72,0.2,0,0
10,0,0.6875,0.3125,0.625,0.25,0,0
11,0,0.5,0.5,0.5,0.5,0,0
12,0,0.840490798,0.159509202,0.73006135,0.147239264,0,0
13,1,0.75,0.25,0.640625,0.203125,0,0
14,1,0.0625,0.9375,0.046875,0.765625,0,1
15,0,0.066666667,0.933333333,0.066666667,0.777777778,0,0
16,1,0.764705882,0.235294118,0.647058824,0.117647059,0,0
17,1,0.651234568,0.348765432,0.546296296,0.277777778,0,1
18,0,0.601823708,0.398176292,0.468085106,0.310030395,0,1
19,0,0.452380952,0.547619048,0.428571429,0.476190476,0,0
20,1,0.41025641,0.58974359,0.384615385,0.512820513,0,0
21,1,0.519230769,0.480769231,0.442307692,0.384615385,1,0
22,1,0.910614525,0.089385475,0.810055866,0.072625698,1,0
23,0,0.897260274,0.102739726,0.794520548,0.089041096,1,0
24,0,0.903846154,0.096153846,0.801282051,0.08974359,1,0
25,1,0.279069767,0.720930233,0.279069767,0.697674419,0,0
26,1,0.302843016,0.697156984,0.177997528,0.564894932,0,1
27,0,0.583333333,0.416666667,0.5,0.361111111,0,0
28,1,0.375,0.625,0.335,0.585,0,1
29,0,0.211538462,0.788461538,0.192307692,0.519230769,0.25,0.75
30,1,0.75,0.25,0.666666667,0.2,1,0
31,0,0.705882353,0.294117647,0.676470588,0.294117647,0,0
32,1,0.415,0.585,0.38,0.465,0,0
33,0,0.291005291,0.708994709,0.238095238,0.523809524,0,0
34,0,0.0625,0.9375,0.055921053,0.733552632,0,1
35,1,0.194029851,0.805970149,0.194029851,0.731343284,0,0
36,0,0.883408072,0.116591928,0.757847534,0.098654709,1,0
37,0,0.85,0.15,0.707142857,0.142857143,1,0
38,0,0.29787234,0.70212766,0.287234043,0.563829787,0,1
39,1,0.666666667,0.333333333,0.647058824,0.294117647,0,0
40,1,0.325,0.675,0.3125,0.5625,0,0
41,1,0.661290323,0.338709677,0.596774194,0.338709677,0,0
42,1,0.904255319,0.095744681,0.781914894,0.074468085,1,0
43,0,0.140703518,0.859296482,0.125628141,0.733668342,0,1
44,1,0.972413793,0.027586207,0.793103448,0.027586207,1,0
45,0,0.516129032,0.483870968,0.516129032,0.419354839,0,0
46,0,0.204819277,0.795180723,0.192771084,0.686746988,0,0
47,1,0.152354571,0.847645429,0.141274238,0.698060942,0,1
48,1,0.571428571,0.428571429,0.542857143,0.428571429,0,0
49,1,0.685714286,0.314285714,0.571428571,0.257142857,0,0
50,0,0.721105528,0.278894472,0.653266332,0.228643216,1,0
51,0,0.487485779,0.512514221,0.316837315,0.494311718,0.611111111,0.388888889
52,0,0.409090909,0.590909091,0.318181818,0.5,0,0
53,0,0.201438849,0.798561151,0.172661871,0.623501199,0.222222222,0.777777778
54,0,0.351351351,0.648648649,0.268018018,0.515765766,0,1
55,0,0.813370474,0.186629526,0.690807799,0.164345404,1,0
56,0,0.538194444,0.461805556,0.496527778,0.434027778,0.333333333,0.666666667
57,0,0.50625,0.49375,0.428125,0.44375,0.666666667,0.333333333
58,1,0.192307692,0.807692308,0.115384615,0.769230769,0,1
59,0,0.057291667,0.942708333,0.052083333,0.747395833,0.5,0.5
60,1,0.925675676,0.074324324,0.878378378,0.060810811,1,0
61,0,0.979695431,0.020304569,0.903553299,0.015228426,1,0
62,0,0.802469136,0.197530864,0.703703704,0.172839506,0,0
63,1,0.384826325,0.615173675,0.316270567,0.531078611,0.421052632,0.578947368
64,1,0.860215054,0.139784946,0.720430108,0.107526882,0,0
65,0,0.412424504,0.587575496,0.309749784,0.515962036,0.4,0.6
66,0,0.825581395,0.174418605,0.73255814,0.151162791,1,0
67,1,0.237288136,0.762711864,0.186440678,0.491525424,0.5,0.5
68,1,0.358208955,0.641791045,0.328358209,0.626865672,0,0
69,0,0.571428571,0.428571429,0.5,0.357142857,1,0
70,0,0.488372093,0.511627907,0.348837209,0.465116279,0,0
71,1,0.705882353,0.294117647,0.705882353,0.294117647,1,0
72,0,0.352272727,0.647727273,0.340909091,0.602272727,0.5,0.5
73,1,0.425531915,0.574468085,0.29787234,0.404255319,0,0
74,0,0.53030303,0.46969697,0.484848485,0.46969697,1,0
75,1,0.662251656,0.337748344,0.556291391,0.271523179,1,0
76,1,0.86,0.14,0.733333333,0.086666667,1,0
77,1,0.566037736,0.433962264,0.490566038,0.433962264,0,0
78,1,0.789473684,0.210526316,0.789473684,0.184210526,0,0
79,0,0.647058824,0.352941176,0.549019608,0.176470588,0,0
80,0,0.321428571,0.678571429,0.25,0.553571429,0,0
81,1,0.170731707,0.829268293,0.170731707,0.682926829,0,0
82,1,0.679012346,0.320987654,0.679012346,0.259259259,0,1
83,1,0.666666667,0.333333333,0.541666667,0.291666667,0,0
84,1,0.217391304,0.782608696,0.180124224,0.540372671,0,1
85,1,0.321428571,0.678571429,0.273809524,0.476190476,0,1
86,1,0.407692308,0.592307692,0.384615385,0.407692308,0,1
87,1,0.4,0.6,0.266666667,0.4,0,0
88,0,0.662337662,0.337662338,0.662337662,0.272727273,0,1
89,0,0.13559322,0.86440678,0.110169492,0.771186441,0,1
90,0,0.693069307,0.306930693,0.554455446,0.277227723,1,0
91,0,0.24,0.76,0.2,0.76,0,0
92,0,0.090909091,0.909090909,0.03030303,0.818181818,0,0
93,0,0.111111111,0.888888889,0.092592593,0.722222222,0,1
94,0,0.054263566,0.945736434,0.03875969,0.813953488,0,1
95,1,0.681818182,0.318181818,0.666666667,0.212121212,0,0
96,1,0.666666667,0.333333333,0.333333333,0.305555556,0,0
97,1,0.526315789,0.473684211,0.315789474,0.368421053,0,0
98,0,0.428571429,0.571428571,0.428571429,0.535714286,0,0
99,0,0.483870968,0.516129032,0.387096774,0.483870968,0,0
100,0,0.422222222,0.577777778,0.377777778,0.511111111,0,0
101,1,0.37037037,0.62962963,0.259259259,0.62962963,0,1
102,0,0.518518519,0.481481481,0.5,0.425925926,0.5,0.5
103,0,0.549391069,0.450608931,0.772214705,0.371222373,0.542372881,0.457627119
104,0,0.595041322,0.404958678,0.561983471,0.371900826,0,0
105,0,0.166666667,0.833333333,0.094202899,0.826086957,0,0
106,1,0.73015873,0.26984127,0.646825397,0.242063492,0.857142857,0.142857143
107,1,0.759689922,0.240310078,0.713178295,0.217054264,1,0
108,1,0.664122137,0.335877863,0.572519084,0.320610687,0.666666667,0.333333333
109,1,0.304347826,0.695652174,0.260869565,0.47826087,0,1
110,0,0.612903226,0.387096774,0.580645161,0.306451613,0.5,0.5
111,0,0.782608696,0.217391304,0.623188406,0.15942029,0.5,0.5
112,1,0.698630137,0.301369863,0.684931507,0.219178082,0,1
113,1,0.852631579,0.147368421,0.736842105,0.147368421,0,0
114,1,0.798913043,0.201086957,0.706521739,0.14673913,0.777777778,0.222222222
115,1,0.521367521,0.478632479,0.423076923,0.367521368,0.333333333,0.666666667
116,1,0.480362538,0.519637462,0.404833837,0.46223565,0.666666667,0.333333333
117,1,0.701960784,0.298039216,0.541176471,0.266666667,1,0
118,0,0.716755319,0.283244681,0.41356383,0.259308511,1,0
119,1,0.662753469,0.337246531,0.534685165,0.298826041,0.666666667,0.333333333
120,0,0.235800344,0.764199656,0.198795181,0.623063683,0.107142857,0.892857143
121,1,0.48337156,0.51662844,0.44896789,0.492545872,0.026666667,0.973333333
122,1,0.231092437,0.768907563,0.205882353,0.714285714,0,0
123,0,0.643410853,0.356589147,0.596899225,0.341085271,1,0
124,1,0.106382979,0.893617021,0.085106383,0.787234043,0,1
125,0,0.498498498,0.501501502,0.438438438,0.435435435,0.285714286,0.714285714
126,0,0.806758184,0.193241816,0.68532207,0.16156283,0.8,0.2
127,1,0.235993209,0.764006791,0.224108659,0.651952462,0.25,0.75
128,0,0.239910314,0.760089686,0.235426009,0.6367713,1,0
129,0,0.25257732,0.74742268,0.226804124,0.677835052,0,1
130,1,0.825174825,0.174825175,0.72027972,0.148601399,1,0
131,0,0.477220957,0.522779043,0.440774487,0.470387244,1,0
132,0,0.77027027,0.22972973,0.67027027,0.210810811,1,0
133,0,0.7890625,0.2109375,0.69140625,0.171875,0,0
134,1,0.802941176,0.197058824,0.708823529,0.176470588,1,0
135,0,0.481223922,0.518776078,0.382475661,0.429763561,0.5,0.5
136,1,0.61971831,0.38028169,0.509389671,0.340375587,0.333333333,0.666666667
137,1,0.649082569,0.350917431,0.603211009,0.337155963,1,0
138,1,0.573770492,0.426229508,0.573770492,0.355191257,0,1
139,0,0.396092362,0.603907638,0.34991119,0.557726465,0,1
140,0,0.305405405,0.694594595,0.235135135,0.637837838,0,1
141,1,0.710769231,0.289230769,0.673846154,0.227692308,1,0
142,0,0.638888889,0.361111111,0.555555556,0.263888889,1,0
143,0,0.259259259,0.740740741,0.222222222,0.668981481,0,0
144,1,0.196610169,0.803389831,0.190960452,0.723163842,0,1
145,1,0.128919861,0.871080139,0.120789779,0.807200929,0,1
146,1,0.590909091,0.409090909,0.590909091,0.227272727,0,0
147,0,0.606060606,0.393939394,0.484848485,0.242424242,0,0
148,0,0.74691358,0.25308642,0.475308642,0.209876543,0,1
149,0,0.74137931,0.25862069,0.336206897,0.25862069,0.5,0.5
150,0,0.119047619,0.880952381,0.10952381,0.833333333,1,0
151,0,0.177777778,0.822222222,0.133333333,0.755555556,0,0
152,1,0.601952278,0.398047722,0.567245119,0.361171367,1,0
153,0,0.587105624,0.412894376,0.534979424,0.368998628,1,0
154,0,0.492592593,0.507407407,0.45,0.453703704,1,0
155,1,0.743506494,0.256493506,0.659090909,0.151515152,0.666666667,0.333333333
156,1,0.723382046,0.276617954,0.637787056,0.249478079,0.9,0.1
157,1,0.696551724,0.303448276,0.686206897,0.186206897,0.916666667,0.083333333
158,0,0.456171735,0.543828265,0.409660107,0.481216458,0.5,0.5
159,0,0.080536913,0.919463087,0.075167785,0.693959732,0,1
160,1,0.914421553,0.085578447,0.808240887,0.074484945,1,0
161,1,0.827956989,0.172043011,0.750537634,0.156989247,1,0
162,1,0.690140845,0.309859155,0.690140845,0.183098592,0,1
163,1,0.719264279,0.280735721,0.599225557,0.246853824,0.8,0.2
164,1,0.611464968,0.388535032,0.478105096,0.302547771,0.704035874,0.295964126
165,0,0.17888563,0.82111437,0.140762463,0.744868035,1,0
166,1,0.725146199,0.274853801,0.652046784,0.184210526,0.830188679,0.169811321
167,0,0.363216266,0.636783734,0.314232902,0.554528651,0.659090909,0.340909091
168,0,0.16507177,0.83492823,0.133971292,0.631578947,0,1
169,1,0.734417344,0.265582656,0.693766938,0.243902439,0.5,0.5
170,0,0.492957746,0.507042254,0.464788732,0.408450704,0,0
171,1,0.766926303,0.233073697,0.547633313,0.141402037,0.772151899,0.227848101
172,0,0.789317507,0.210682493,0.715133531,0.15727003,0,0
173,0,0.814516129,0.185483871,0.291271347,0.169829222,0.931623932,0.068376068
174,1,0.690737834,0.309262166,0.57299843,0.277080063,0.830508475,0.169491525
175,0,0.747508306,0.252491694,0.681063123,0.237541528,0.5,0.5
176,0,0.6825054,0.3174946,0.642548596,0.289416847,0.6,0.4
177,0,0.604316547,0.395683453,0.578622816,0.367934224,0.875,0.125
178,1,0.655437921,0.344562079,0.643166506,0.326275265,0.790243902,0.209756098
179,0,0.711911357,0.288088643,0.620498615,0.271468144,0.714285714,0.285714286
180,1,0.622461171,0.377538829,0.517323775,0.259259259,0.785714286,0.214285714
181,0,0.754562618,0.245437382,0.616110761,0.213341724,0.811320755,0.188679245
182,1,0.79676512,0.20323488,0.701828411,0.165963432,0.693877551,0.306122449
183,1,0.459016393,0.540983607,0.371009491,0.43313201,0.111111111,0.888888889
184,0,0.681972789,0.318027211,0.605442177,0.31122449,0.6,0.4
185,1,0.364341085,0.635658915,0.348837209,0.542635659,0.5,0.5
186,0,0.400352734,0.599647266,0.356261023,0.562610229,0.230769231,0.769230769
187,1,0.730585424,0.269414576,0.715651135,0.198924731,0.885714286,0.114285714
188,1,0.697860963,0.302139037,0.582887701,0.254010695,0.75,0.25
189,1,0.557503506,0.442496494,0.426367461,0.379382889,0.466666667,0.533333333
190,0,0.805743243,0.194256757,0.550675676,0.167792793,0.696202532,0.303797468
191,0,0.268160742,0.731839258,0.189335394,0.686244204,0.533333333,0.466666667
192,1,0.64021164,0.35978836,0.44973545,0.28042328,0,1
193,0,0.842253521,0.157746479,0.623943662,0.107042254,0.666666667,0.333333333
194,1,0.532352941,0.467647059,0.402941176,0.361764706,1,0
195,0,0.311377246,0.688622754,0.241516966,0.614770459,0.4,0.6
196,1,0.581538462,0.418461538,0.483076923,0.313846154,0.666666667,0.333333333
197,0,0.309385863,0.690614137,0.244495944,0.586326767,0.166666667,0.833333333
198,1,0.708394698,0.291605302,0.65095729,0.237113402,0.8,0.2
199,1,0.740909091,0.259090909,0.668181818,0.21969697,0.9,0.1
200,1,0.660130719,0.339869281,0.60130719,0.287581699,0,0
201,1,0.740540541,0.259459459,0.627027027,0.221621622,0,0
202,1,0.761589404,0.238410596,0.655629139,0.198675497,1,0
203,1,0.810126582,0.189873418,0.751054852,0.156118143,0,0
204,0,0.825688073,0.174311927,0.766055046,0.137614679,0,0
205,0,0.575,0.425,0.5375,0.3,0,1
206,0,0.900271985,0.099728015,0.804170444,0.092475068,1,0
207,1,0.870656371,0.129343629,0.86003861,0.116795367,0.75,0.25
208,1,0.8980322,0.1019678,0.864937388,0.08765653,1,0
209,1,0.20735786,0.79264214,0.183946488,0.712374582,0,0
210,0,0.783783784,0.216216216,0.679054054,0.199324324,1,0
211,0,0.834757835,0.165242165,0.635327635,0.150997151,1,0
212,1,0.815625,0.184375,0.61875,0.11875,1,0
213,1,0.630769231,0.369230769,0.607692308,0.346153846,1,0
214,1,0.58974359,0.41025641,0.575757576,0.331002331,0.875,0.125
215,0,0.375321337,0.624678663,0.331619537,0.568123393,0.8,0.2
216,1,0.501133787,0.498866213,0.446712018,0.455782313,0.6,0.4
217,1,0.727272727,0.272727273,0.670995671,0.238095238,0,0
218,0,0.462068966,0.537931034,0.386206897,0.434482759,0.333333333,0.666666667
219,0,0.212903226,0.787096774,0.193548387,0.664516129,0,0
220,1,0.502538071,0.497461929,0.423857868,0.432741117,1,0
221,0,0.505529226,0.494470774,0.458135861,0.44549763,1,0
222,0,0.595744681,0.404255319,0.558790594,0.374020157,1,0
223,1,0.640194489,0.359805511,0.59643436,0.296596434,0.375,0.625
224,0,0.625,0.375,0.3125,0.375,0,1
225,1,0.714995035,0.285004965,0.652432969,0.188679245,1,0
226,0,0.664414414,0.335585586,0.529279279,0.226351351,0.777777778,0.222222222
227,1,0.742173112,0.257826888,0.664825046,0.186003683,1,0
228,1,0.349206349,0.650793651,0.301587302,0.53968254,0,0
229,1,0.73054755,0.26945245,0.701729107,0.204610951,1,0
230,1,0.804347826,0.195652174,0.739130435,0.179347826,0,0
231,1,0.805513017,0.194486983,0.762633997,0.15007657,1,0
232,1,0.829403606,0.170596394,0.675450763,0.138696255,0.8,0.2
233,0,0.873873874,0.126126126,0.673101673,0.111969112,1,0
234,1,0.731942215,0.268057785,0.531300161,0.227929374,0.333333333,0.666666667
235,1,0.667322835,0.332677165,0.520669291,0.294291339,0.818181818,0.181818182
236,1,0.854092527,0.145907473,0.804270463,0.115065243,0.923076923,0.076923077
237,1,0.761768902,0.238231098,0.650499287,0.175463623,1,0
238,0,0.276470588,0.723529412,0.170588235,0.582352941,0,0
239,0,0.116129032,0.883870968,0.109677419,0.793548387,0,0
240,0,0.455882353,0.544117647,0.415441176,0.459558824,0,0
241,1,0.484210526,0.515789474,0.442105263,0.421052632,0.5,0.5
242,1,0.507751938,0.492248062,0.492248062,0.46124031,0,0
243,1,0.775510204,0.224489796,0.587755102,0.2,1,0
244,1,0.639344262,0.360655738,0.56284153,0.306010929,0,1
245,1,0.611940299,0.388059701,0.552238806,0.313432836,0,0
246,0,0.276497696,0.723502304,0.267281106,0.631336406,0,0
247,1,0.444444444,0.555555556,0.294444444,0.35,0,0
248,1,0.682713348,0.317286652,0.41356674,0.27571116,0,0
249,1,0.417431193,0.582568807,0.408256881,0.399082569,1,0
250,1,0.497409326,0.502590674,0.347150259,0.29015544,1,0
251,1,0.806954436,0.193045564,0.76498801,0.158273381,0.882352941,0.117647059
252,1,0.639484979,0.360515021,0.572961373,0.309012876,1,0
253,0,0.775510204,0.224489796,0.727405248,0.209912536,0.777777778,0.222222222
254,1,0.744186047,0.255813953,0.707848837,0.226744186,0.75,0.25
255,0,0.805825243,0.194174757,0.626213592,0.174757282,0.5,0.5
256,1,0.737201365,0.262798635,0.687713311,0.216723549,1,0
257,0,0.457142857,0.542857143,0.371428571,0.435714286,0,0
258,1,0.8475,0.1525,0.76125,0.11,0.857142857,0.142857143
259,1,0.804444444,0.195555556,0.780740741,0.148148148,0.666666667,0.333333333
260,0,0.418118467,0.581881533,0.351916376,0.554006969,0.25,0.75
261,1,0.699369937,0.300630063,0.676867687,0.277227723,0.708333333,0.291666667
262,1,0.850993377,0.149006623,0.746688742,0.144039735,1,0
263,1,0.829268293,0.170731707,0.691637631,0.155052265,0.857142857,0.142857143
264,1,0.844748858,0.155251142,0.759512938,0.118721461,1,0
265,0,0.30075188,0.69924812,0.251879699,0.612781955,0,0
